trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.9119999999999999}",20,0,-92.79665728438974,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-129.33024306202574,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9079999999999999}",25,0,-111.43031512401168,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9059999999999999}",25,4,-61.3725839905757,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.9039999999999999}",25,0,-162.09045855973096,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9019999999999999}",20,0,7.9671315045471,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-226.04763908852357,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.8979999999999999}",25,0,-190.4812306302423,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.8959999999999999}",25,0,-149.57163020862063,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.8939999999999999}",30,0,-294.96806924111684,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 5}",0
54,False,"{'a': 0.5, 'e': 0.8919999999999999}",20,8,-33.967160299800334,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,14,-8.592856176011704,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.8879999999999999}",25,0,-232.77442025264028,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
57,False,"{'a': 0.5, 'e': 0.8859999999999999}",20,0,-76.32343809940478,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.8839999999999999}",25,0,-163.90979251613027,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.8819999999999999}",30,0,-138.13345081300102,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-84.44305500046897,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.8779999999999999}",20,0,-50.675223844857314,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.8759999999999999}",30,0,-74.21230354329997,"{0: 17, 1: 8, 2: 5, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.8739999999999999}",20,0,-161.38145669973974,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
